fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
chasing,pulling,0,0.93583614,1,false_positive
sleep,theories,0,0.93038666,1,false_positive
recall,retreat,0,0.9283347,1,false_positive
forensic,intense,0,0.9246187,1,false_positive
𝘣𝒆𝙙𝒓ο𝝄𝒎,bedroom,1,0.9091626,0,false_negative
𝒃uℼc𝒽,bunch,1,0.8983246,0,false_negative
ⅽ𝞸𝕞𝗺𝑢п𝓲𝓬ａtⅈⲟռ𝑠,communications,1,0.918273,0,false_negative
t𝞪𝐈ĸ,talk,1,0.85519785,0,false_negative
ᴏ𝕣𝕘ａ𝐧ɩⲥ,organic,1,0.8783399,0,false_negative
𝕣𝒆сo𝗋𝓭,record,1,0.9148822,0,false_negative
ⅰϖ𝑖t˛𝒂𝛕i∨𝗲,initiative,1,0.9130219,0,false_negative
l𝝾g𝝸𝚌aⲒ𝓘ү,logically,1,0.9130827,0,false_negative
ꓲittle,little,1,0.90892315,0,false_negative
ԝ𝒾𝛕𝑐𝖍,witch,1,0.9105748,0,false_negative
tablets,transplant,0,0.93140423,1,false_positive
weary,silk,0,0.9293171,1,false_positive
notation,reputation,0,0.923454,1,false_positive
obtained,isolation,0,0.9444075,1,false_positive
ӏ𝛑c𝙤m𝑒,income,1,0.9113938,0,false_negative
ｈ𝛼lℑᴡ𝛼y,hallway,1,0.90308845,0,false_negative
that,violent,0,0.9271787,1,false_positive
against,partnership,0,0.92567825,1,false_positive
𝒓e𝑓𝕀𝙚ϲtｉｖ𝗲,reflective,1,0.890798,0,false_negative
𝗽αꜱ𝑠,pass,1,0.9087205,0,false_negative
buildings,kings,0,0.93588066,1,false_positive
ⲥ𝕴𝛼riք𝖞,clarify,1,0.86176395,0,false_negative
𝗍𝐞rn𝔭Ｉ𝔢,temple,1,0.9115287,0,false_negative
senior,crawled,0,0.9263173,1,false_positive
𝚜℮𝐫𝛊𝑎l,serial,1,0.9173395,0,false_negative
𝗳ɪ𝝂𝕖,five,1,0.9170568,0,false_negative
textual,holder,0,0.9347893,1,false_positive
𝒻lℯԝ,flew,1,0.89842224,0,false_negative
palm,neck,0,0.93445116,1,false_positive
fair,request,0,0.92052776,1,false_positive
𝚰ｅᕁｉ𝒸αƖ,lexical,1,0.90963614,0,false_negative
𝙧emͺ𝜛ԁs,reminds,1,0.90893096,0,false_negative
team,less,0,0.92420053,1,false_positive
shrugged,duplicated,0,0.92149985,1,false_positive
𝒄𝗁೦𝘰𝑠ing,choosing,1,0.91155267,0,false_negative
౦𝕓𝚥𝓮c𝞽,object,1,0.9063047,0,false_negative
dia∣ᴑցue,dialogue,1,0.904531,0,false_negative
𝓪𝘥ං𝟷esceℼce,adolescence,1,0.913191,0,false_negative
reductions,bodies,0,0.9209153,1,false_positive
𝒸𝕖n𝗍е𝗿,center,1,0.91801643,0,false_negative
r𝗮і𝑰,rail,1,0.9060128,0,false_negative
Christmas,medial,0,0.9400213,1,false_positive
eyebrows,officers,0,0.9355945,1,false_positive
titles,numbers,0,0.947416,1,false_positive
Ƅarriers,barriers,1,0.92004365,0,false_negative
𝘐eapℯd,leaped,1,0.85716045,0,false_negative
motivation,images,0,0.92355216,1,false_positive
⍴ᴏѵe𝗿𝛕𝗒,poverty,1,0.91710824,0,false_negative
𝗿೦𝓾𝓽ι𝖓𝗲ƽ,routines,1,0.8903595,0,false_negative
commentary,composite,0,0.92105,1,false_positive
accounts,sinus,0,0.92248005,1,false_positive
𝖈𝟏𝔬𝕤u𝘳ⅇ,closure,1,0.89615345,0,false_negative
poles,covers,0,0.92377716,1,false_positive
metal,nasal,0,0.93607014,1,false_positive
traits,tanks,0,0.9205876,1,false_positive
𝘤u𝗜t𝕦r𝚎,culture,1,0.8523666,0,false_negative
𝐛ro𝝅ze,bronze,1,0.9199545,0,false_negative
rely,adjacent,0,0.92882514,1,false_positive
conf𝛊d𝘦ϖ𝒄e,confidence,1,0.9139409,0,false_negative
literacy,according,0,0.93092096,1,false_positive
entertainment,willow,0,0.9330801,1,false_positive
anniversary,recent,0,0.92258865,1,false_positive
c⍺ℐ𝒎,calm,1,0.9199901,0,false_negative
standards,spit,0,0.9226316,1,false_positive
pumps,regulatory,0,0.92865956,1,false_positive
machinery,cook,0,0.92269456,1,false_positive
h𝞲𝑔h𝓘y,highly,1,0.9146677,0,false_negative
𝑠һ⍺𝚍ℯ,shade,1,0.91782373,0,false_negative
