fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
ϰʍ𝛂rt𝒊nꝚ,kmartin2,1,0.9218323,0,false_negative
𝗯𝙟ohϖ𝓼o𝛑𝟭ｌ,bjohnson11,1,0.9444203,0,false_negative
𝐈Ь𝕣𝞼𝒘𝝕𝟐,lbrown2,1,0.92711496,0,false_negative
𝚥ⲕh𝒂𝐧Ꝛ,jkhan2,1,0.9299616,0,false_negative
d𝐫osе𝟚,drose2,1,0.9434696,0,false_negative
cmiller9,kmarie2,0,0.95696676,1,false_positive
jyoung2,cryan2,0,0.9581178,1,false_positive
⍺𝐚𝒉m𝙚dI𝟘,aahmed10,1,0.94163144,0,false_negative
psmith7,rsmith2,0,0.9688323,1,false_positive
ϳᴋӏ𝖒𝟦,jkim4,1,0.92467254,0,false_negative
jlynch2,jkim4,0,0.9599428,1,false_positive
jphillips4,jsmith19,0,0.952428,1,false_positive
ajones3,achan3,0,0.9560976,1,false_positive
lphillips2,psmith7,0,0.9650501,1,false_positive
𝓪ʍ𝖺𝚛𝝉ӏ𝐧Յ,amartin3,1,0.9371629,0,false_negative
s𝒋𝚘п𝖾sଃ,sjones8,1,0.92156065,0,false_negative
nsmith7,csmith17,0,0.971074,1,false_positive
mbrown15,mryan3,0,0.95323884,1,false_positive
nwilliams2,mwilliams11,0,0.9723673,1,false_positive
nahmed5,jmitchell4,0,0.9610015,1,false_positive
rwood2,mwatson2,0,0.94957304,1,false_positive
a𝕒ⵏiℑ𝟭,aali11,1,0.94435394,0,false_negative
ⅿ𝕛𝝾ϖｅ𝔰𝞘𝒪,mjones10,1,0.9414575,0,false_negative
⍺յ𝗈𝓷𝔢ｓ𝟚,ajones2,1,0.9408649,0,false_negative
esmith9,esmith8,0,0.9974846,1,false_positive
𝕕Ьａᴋ𝙚𝚛Ꝛ,dbaker2,1,0.9414819,0,false_negative
cbrown9,jbrown18,0,0.96225524,1,false_positive
𝚜һunte𝓻ᒿ,shunter2,1,0.9403211,0,false_negative
bmoore4,amoore2,0,0.96884215,1,false_positive
ljones4,ajones15,0,0.96431154,1,false_positive
ᶃm𝜎၀𝒓e2,gmoore2,1,0.94058144,0,false_negative
𝐈ϰ𝚒ᴨ𝙜𝟚,lking2,1,0.9050765,0,false_negative
swest2,wsmith3,0,0.9554934,1,false_positive
mtorres3,sjoseph2,0,0.9482024,1,false_positive
ƍᴡ𝝸lson2,gwilson2,1,0.9393467,0,false_negative
ӏ𝑘𝗁⍺𝘯Ӡ,ikhan3,1,0.94109756,0,false_negative
sɯ𝗂𝝞ℓⅈ𝛂rn𝓈𝚕𝟜,swilliams14,1,0.94070995,0,false_negative
𝜶𝖻𝘐𝛼𝙘ⲕᒿ,ablack2,1,0.9464783,0,false_negative
abrown7,cbrown14,0,0.98001474,1,false_positive
𝙠𝐡𝗮ꓲ￨Ꮞ,khall4,1,0.9375055,0,false_negative
𝞪ĸһ𝒶𝟉Ƽ,akhan5,1,0.9352589,0,false_negative
ȷ𝖽ａѵɩ𝔰𝑙𝟯,jdavis13,1,0.9436225,0,false_negative
𝘷ᴋ𝘶mаᴦ𝔩𝘖,vkumar10,1,0.9434824,0,false_negative
lmartin3,bsmith6,0,0.95013624,1,false_positive
𝙄𝖜аt𝘴௦𝞹2,lwatson2,1,0.9390808,0,false_negative
𝓳ⲥ𝐼𝒶𝓻𝜘𝚎Ϩ,jclarke2,1,0.94599134,0,false_negative
𝗷𝚛σᖯiϖso𝝅Ӡ,jrobinson3,1,0.92276365,0,false_negative
sαߊι𝓵3,sali13,1,0.94014215,0,false_negative
hsingh4,ssingh19,0,0.9559078,1,false_positive
jmartinez4,jwhite3,0,0.9599678,1,false_positive
rbrown8,abrown10,0,0.9714529,1,false_positive
𝜘∣𝐞е𝟧,klee5,1,0.93759483,0,false_negative
mkelly4,klee5,0,0.9521987,1,false_positive
𝝞𝖽aᴠ𝚤s𝟰,ldavis4,1,0.94575435,0,false_negative
jgonzalez6,hnguyen5,0,0.9497965,1,false_positive
𝒓rеℽｅ𝑠Ƨ,rreyes2,1,0.9315523,0,false_negative
𝛂𝖜i𝞘ߊͺаms8,awilliams8,1,0.943128,0,false_negative
mflores3,msingh3,0,0.95925033,1,false_positive
aahmed9,ajones12,0,0.94812685,1,false_positive
𝜶𝔴℮ƽ𝛕Ꝛ,awest2,1,0.94460225,0,false_negative
cwilliams3,dwilliams16,0,0.96571577,1,false_positive
ⅆreу𝑒sϨ,dreyes2,1,0.946416,0,false_negative
lsmith13,hsmith5,0,0.9584916,1,false_positive
jhoward2,msingh7,0,0.94908804,1,false_positive
𝚊𝟆𝚑𝓪𝒏𝖨𝜪,akhan10,1,0.9425328,0,false_negative
kharris3,ksingh5,0,0.9616642,1,false_positive
