fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
greendown,greensmut,0,0.9652788,1,false_positive
ioŉliĥe,ionline,1,0.9346776,0,false_negative
roſtncracks,softncracks,1,0.93238235,0,false_negative
fasrnessk,nasrnews,1,0.93674195,0,false_negative
limonwp,lemonsay,0,0.9574772,1,false_positive
enabŀeđplayn,enabledplay,1,0.9340037,0,false_negative
àutoma4ionđirect,automationdirect,1,0.93063796,0,false_negative
taħricatg,tahribat,1,0.89870846,0,false_negative
ŝtaridÿ,starity,1,0.93355894,0,false_negative
4ovel102n,hotel102,1,0.9255038,0,false_negative
softncracks,softwarecrackworks,0,0.9636709,1,false_positive
vtube,vutbr,0,0.94460523,1,false_positive
3itebearrs,sitebeam,1,0.9255189,0,false_negative
percentt-chhan6e,percent-change,1,0.925457,0,false_negative
cady,cafy,1,0.93370736,0,false_negative
ẃarcļâns,warclans,1,0.93838024,0,false_negative
seelltinder,seedfinder,1,0.92070234,0,false_negative
ŕaılnatiol,railnation,1,0.90406173,0,false_negative
joblaţin,jobnation,1,0.9343924,0,false_negative
maoentoz,magento,1,0.92065907,0,false_negative
motiespmrtalk,moviesportal,1,0.9046352,0,false_negative
šițeserver,siteserver,1,0.91978514,0,false_negative
51you,51din,0,0.9431209,1,false_positive
affiliate-b,mraffiliate,0,0.9419891,1,false_positive
pandia,pana,0,0.9481298,1,false_positive
-yɱedicrae,mymedicare,1,0.9326444,0,false_negative
cricmatez,africaa-z,0,0.94139236,1,false_positive
ÿoucanbooķ,youcanbook,1,0.92441845,0,false_negative
ť5e,tse,1,0.93402946,0,false_negative
kxagoa,ixigo,1,0.93211174,0,false_negative
prozis,prehits,0,0.9391277,1,false_positive
abatay,adata,1,0.9213538,0,false_negative
onçŭbamagazine,oncubamagazine,1,0.93743527,0,false_negative
pcsb,pcbox,0,0.9493507,1,false_positive
tîcketciʈy,ticketcity,1,0.9381898,0,false_negative
arkahosst,arkahost,1,0.92433226,0,false_negative
ďùdęrest,duderest,1,0.93403995,0,false_negative
fvņ01,fun01,1,0.93296003,0,false_negative
iped,phpied,0,0.9463086,1,false_positive
ʂbt,scbt,1,0.9253873,0,false_negative
maylifeiņsurance,maxlifeinsurance,1,0.92940176,0,false_negative
0entest-t_ools,pentest-tools,1,0.93132615,0,false_negative
sƒganne,sfgame,1,0.92106724,0,false_negative
aturusůsa,taurususa,1,0.93165976,0,false_negative
ɱagicianẉiz,magicianwiz,1,0.93230146,0,false_negative
cekaja,cedacri,0,0.94816744,1,false_positive
carthrottle,chatroulette,0,0.9402276,1,false_positive
cqu,cfo,0,0.93869615,1,false_positive
shopmmqsc,shopmissa,1,0.93701917,0,false_negative
0csbs,pcsb,1,0.93523276,0,false_negative
top-m4nhia,top-mania,1,0.93404967,0,false_negative
xxl,yxx,0,0.9451966,1,false_positive
plaia9,plala,1,0.93400526,0,false_negative
vidhos,viidii,0,0.9680464,1,false_positive
îđealìst,idealist,1,0.9356056,0,false_negative
th_etechgq,thetech,1,0.93055755,0,false_negative
love,loveme,0,0.9411023,1,false_positive
thupnpartalk,thumpertalk,1,0.93712735,0,false_negative
se_rso,sears,1,0.92097706,0,false_negative
ʂe4rso,sears,1,0.92169,0,false_negative
superfilmeshd,superfilm,0,0.940457,1,false_positive
dcamp,dramaq,0,0.94699633,1,false_positive
oews-edğeh,news-edge,1,0.92530644,0,false_negative
pandia,painaidii,0,0.95227635,1,false_positive
kf-mania,mmamania,0,0.9524101,1,false_positive
gsalr,gmial,0,0.9502698,1,false_positive
_ġome,go7me,1,0.9380326,0,false_negative
metroſãx,metrofax,1,0.9259348,0,false_negative
megafilmeshd20,megafilmesonlinehd,0,0.950921,1,false_positive
5fqq,qwq4,0,0.95136434,1,false_positive
ădþīle,adpile,1,0.9227082,0,false_negative
q4otosnackm,photosnack,1,0.93089557,0,false_negative
bogi,btgigs,0,0.9743162,1,false_positive
qeriesbengt,seriesbang,1,0.9299504,0,false_negative
ihuigo,ixigo,0,0.94454503,1,false_positive
pktteŗ,rotter,1,0.9303477,0,false_negative
direc-psale,directsales,1,0.91806126,0,false_negative
futeebo1365,futebol365,1,0.9274181,0,false_negative
airgawq,airgas,1,0.93635094,0,false_negative
cez1,ec21,1,0.92096525,0,false_negative
lugeniňja,hugeninja,1,0.92589134,0,false_negative
jtracker1,kt-joker,0,0.9607514,1,false_positive
sʈarbloĝś,starblogs,1,0.9342231,0,false_negative
ęnginethemės,enginethemes,1,0.9366612,0,false_negative
dcshoes,daesh-news,0,0.94054323,1,false_positive
ɱmautis,mautic,1,0.93867636,0,false_negative
ľeeķtrum,elektrum,1,0.9350344,0,false_negative
tce,tcz,0,0.94406784,1,false_positive
pŗŗinting,printing,1,0.8966094,0,false_negative
oaŋgaupdatgs,mangaupdates,1,0.92547596,0,false_negative
hipforums,hardforum,0,0.94113076,1,false_positive
e×țraƀux,extrabux,1,0.9216062,0,false_negative
windśtɍeamm,windstream,1,0.93625534,0,false_negative
loveme,love,0,0.9411023,1,false_positive
3hopt-iiate,shoptimate,1,0.9300211,0,false_negative
ƀonfsėo,bondseo,1,0.91878134,0,false_negative
photkmania,photomania,1,0.92978364,0,false_negative
eĉolefirecta,ecoledirecte,1,0.9342261,0,false_negative
tokyoloader,comfycozyabode,0,0.9467932,1,false_positive
altestbesgtame,latestbestgame,1,0.93478096,0,false_negative
63,66,0,0.94905996,1,false_positive
lifest9lejouŕnale,lifestylejournal,1,0.92541254,0,false_negative
sąudishifť,saudishift,1,0.93678343,0,false_negative
cártoonize,cartoonize,1,0.9289953,0,false_negative
ľottery,lottery,1,0.9355786,0,false_negative
pele-aji-me,tele-anime,1,0.92415655,0,false_negative
aikątsuc,aikatsu,1,0.9370435,0,false_negative
linkshrink,linkwithin,0,0.96462107,1,false_positive
wttw,vtwtv,0,0.96186453,1,false_positive
photorȗmořȑs,photorumors,1,0.9304555,0,false_negative
sht,fhf,0,0.952767,1,false_positive
iẉç,iwc,1,0.9361644,0,false_negative
ŝpiƀo,spbo,1,0.92192423,0,false_negative
1-6-vlyy,1-2-fly,1,0.9051826,0,false_negative
slx,syl,1,0.9161085,0,false_negative
hibraîňo,hibrain,1,0.93119335,0,false_negative
rdzgw,txzqw,0,0.9557617,1,false_positive
elcocn,encyclo,0,0.95387655,1,false_positive
liba,libaclub,0,0.95671517,1,false_positive
maoentoɱ,magento,1,0.92420363,0,false_negative
