fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
ʜе𝒄𝐞𝞃,несет,1,0.9507505,0,false_negative
пользу,несет,0,0.96604204,1,false_positive
обращать,правила,0,0.9602431,1,false_positive
ᴫᴎчʜƅi𝔢,личные,1,0.95697933,0,false_negative
настоящих,тысячи,0,0.96596134,1,false_positive
𝞽рᴎ,три,1,0.95461166,0,false_negative
рабочих,образованием,0,0.9657073,1,false_positive
годов,князь,0,0.9615469,1,false_positive
вещах,превратились,0,0.9604482,1,false_positive
жилого,протокола,0,0.9664839,1,false_positive
рｏʙʜыᴍ,ровным,1,0.93524146,0,false_negative
𝘆𝕥ʙ𝙚𝖕жд𝖺л,утверждал,1,0.94513655,0,false_negative
𝖐ʜᴎг,книг,1,0.94848204,0,false_negative
ʜ𝛐ʙьıᴍ,новым,1,0.94338787,0,false_negative
третий,захотелось,0,0.9659997,1,false_positive
𝔞ʜг𝕖ᴫьı,ангелы,1,0.95639646,0,false_negative
ᴫю𝟨иᴫᴎ,любили,1,0.9315651,0,false_negative
плачет,любили,0,0.96101284,1,false_positive
𝟼𝖆р𝜊н,барон,1,0.94787705,0,false_negative
ո𝐩ᴎ𝛡ංдʜᴙᴫ,приподнял,1,0.95592767,0,false_negative
𝛄д𝑎𝘱𝔬ʙ,ударов,1,0.9472347,0,false_negative
໐Ⳓн𝐚р𝜸жᴎᴫи,обнаружили,1,0.947396,0,false_negative
𝙘ᴎᴫƅʜƅiⅇ,сильные,1,0.9533551,0,false_negative
строя,сильные,0,0.9659891,1,false_positive
ᴫе𝕔𝒶,леса,1,0.94569564,0,false_negative
славы,леса,0,0.9667713,1,false_positive
вопросов,поморщился,0,0.9703216,1,false_positive
чужого,зло,0,0.9716976,1,false_positive
𝚔໐ʜеѝ,коней,1,0.9543297,0,false_negative
носом,коней,0,0.97472346,1,false_positive
грузов,розы,0,0.97105694,1,false_positive
𝛑౦ц𝐞ᴫⲟв𝜶ᴫ,поцеловал,1,0.95191467,0,false_negative
звезд,пять,0,0.9609773,1,false_positive
подле,двойной,0,0.9637127,1,false_positive
реакцию,случиться,0,0.9760616,1,false_positive
ᴎ𝚌ч𝘦ᴈᴫᴎ,исчезли,1,0.9584694,0,false_negative
отдельных,середине,0,0.9602304,1,false_positive
ⲥყᴍ𝚎ᴫᴎ,сумели,1,0.9551541,0,false_negative
