fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
ששנʽ,ששני,1,0.9680266,0,false_negative
ﬣ𝛐מ᾽נﬧ,הסמינר,1,0.9711608,0,false_negative
ﬣℵﬧℷ𝗅נ׳ﬦ,הארגונים,1,0.9802364,0,false_negative
ﬠꞌ՚ז,עייז,1,0.97982097,0,false_negative
ﬥקﬧ𝙄ﬡ,לקרוא,1,0.9808062,0,false_negative
ﬣמߴוﬠﬢ,המיועד,1,0.9504977,0,false_negative
ℸי׳ו￨ߴﬢ,דייוויד,1,0.9423108,0,false_negative
ﬣ׳′נﬧ´ך,היינריך,1,0.96494454,0,false_negative
ﬣℵℐפנˊ′ﬦ,האופניים,1,0.92519784,0,false_negative
כתב,כשאין,0,0.9869318,1,false_positive
שﬧℵ՝נⅠ,שראינו,1,0.957445,0,false_negative
ה𝟙פ‛ﬠ,הופיע,1,0.97729206,0,false_negative
ש´,שי,1,0.9819182,0,false_negative
מ𝞸ﬤ′ﬦ,מסכים,1,0.97891605,0,false_negative
מתים,משנתנו,0,0.9837467,1,false_positive
הﬨרב𝕴ﬨ,התרבות,1,0.97907716,0,false_negative
ﬡמנ𝗜ﬨ,אמנות,1,0.967024,0,false_negative
ﬥ′מ𝑙ﬢʻ,לימודי,1,0.98136437,0,false_negative
נℶחנˊﬦ,נבחנים,1,0.98235476,0,false_negative
שחק1,שחקן,1,0.9803344,0,false_negative
לחברי,לערבים,0,0.9837492,1,false_positive
ℵשקﬥ𝟷𝙄,אשקלון,1,0.97570455,0,false_negative
המלצר,"הרה""ג",0,0.9860879,1,false_positive
בﬨﬠר𝟙כ𝟙ת,בתערוכות,1,0.97978014,0,false_negative
י𝙄נתן,יונתן,1,0.9808107,0,false_negative
הפשט,לאכול,0,0.98830575,1,false_positive
נפשＩ,נפשו,1,0.97939205,0,false_negative
ℵ𝓵זנˋﬣ,אוזניה,1,0.96288896,0,false_negative
אצˋלIﬨ,אצילות,1,0.97533476,0,false_negative
ﬣמ′סטיקה,המיסטיקה,1,0.9802239,0,false_negative
הנבואי,המיסטיקה,0,0.98384285,1,false_positive
ℶפנʻם,בפנים,1,0.98096836,0,false_negative
ח‟ﬡ,"ח""א",1,0.9700777,0,false_negative
ﬣק𝓘ﬢק𝜊,הקודקס,1,0.97281736,0,false_negative
ⵏאƖבן,ואובן,1,0.9798327,0,false_negative
קvנﬣ,קטנה,1,0.9740377,0,false_negative
כתובה,קטנה,0,0.9867461,1,false_positive
באש,באלה,0,0.9829368,1,false_positive
התחℑמ᾿ם,התחומים,1,0.9696372,0,false_negative
