fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
detenuti,dirti,0,0.9241865,1,false_positive
eᴜ𝗿𝘰,euro,1,0.91608477,0,false_negative
azzardo,assurdo,0,0.9279743,1,false_positive
𝙸𝘦𝐠𝚐℮𝖗ℹ,leggeri,1,0.872619,0,false_negative
argento,leggeri,0,0.9304694,1,false_positive
𝖈ס𝒏ԁσ𝕞ɩ𝝿і𝘰,condominio,1,0.9191649,0,false_negative
passivo,lavori,0,0.9314514,1,false_positive
biglietti,grigio,0,0.93045664,1,false_positive
𝒏𝐞ʍ𝜾ｃ𝘪,nemici,1,0.91998076,0,false_negative
finanziamento,sostanze,0,0.93769157,1,false_positive
𝔞𝗌𝒔𝚎𝙢𝓫ߊⅇｅ,assemblee,1,0.8846221,0,false_negative
densità,dotati,0,0.92867035,1,false_positive
fissa,fretta,0,0.9330927,1,false_positive
b𝛼𝛕ter𝓲,batteri,1,0.9166524,0,false_negative
rn𝚤𝒶,mia,1,0.92264205,0,false_negative
sⲥheⅆ𝐚,scheda,1,0.9200582,0,false_negative
⍺𝚝𝛕𝒾ѵ𝝸tà,attività,1,0.88525295,0,false_negative
ⲥo𝓈i,cosi,1,0.9051826,0,false_negative
vada,viale,0,0.9279364,1,false_positive
𝘐αs𝚌𝗂,lasci,1,0.8246096,0,false_negative
utente,straniere,0,0.935491,1,false_positive
𝔠i𝔯ⲥοߊ𝑎𝖟ℹo𝜛𝗲,circolazione,1,0.9181487,0,false_negative
vvⅇ𝖇,web,1,0.91701734,0,false_negative
merita,pressione,0,0.9315157,1,false_positive
denso,comparire,0,0.9341867,1,false_positive
contesti,negativi,0,0.92402387,1,false_positive
𝓿𝛼𝙄ц𝜏𝕒𝘇ιം𝝿𝓲,valutazioni,1,0.8930933,0,false_negative
consigliato,cessazione,0,0.93305045,1,false_positive
𝐜ס𝟉tంг𝝅𝗶,contorni,1,0.9001308,0,false_negative
ｓⲣ𝑎𝖗𝔰𝖊,sparse,1,0.9198602,0,false_negative
infezione,velocemente,0,0.94061804,1,false_positive
℮𝙣𝘁𝖊,ente,1,0.87491584,0,false_negative
ricchezza,esclamò,0,0.9391973,1,false_positive
pensavo,testamento,0,0.9249596,1,false_positive
ℯ𝐼e𝙩𝚝𝕣ⲟ𝜋ɩc𝕚,elettronici,1,0.9073602,0,false_negative
𝒄𝕦ℑt𝚞ⲅ℮,culture,1,0.89989704,0,false_negative
ebraica,ginocchio,0,0.93886745,1,false_positive
revisione,visite,0,0.9382214,1,false_positive
𝙄໐g𝞲𝖼o,logico,1,0.8855444,0,false_negative
𝖗eg𝙞𝓈𝞽rα𝔱𝞼,registrato,1,0.92188793,0,false_negative
𝓶еԁ𝗂co,medico,1,0.897374,0,false_negative
ʍ𝚒o,mio,1,0.9220484,0,false_negative
g𝘳𝖺zɩoƽa,graziosa,1,0.9072629,0,false_negative
ʍ𝔢𝔱𝕥𝛐𝛡٥,mettono,1,0.901088,0,false_negative
fibre,ad,0,0.92525226,1,false_positive
𝖵α𝝕gelᴏ,Vangelo,1,0.9220122,0,false_negative
ѕince𝘳𝛂,sincera,1,0.92386603,0,false_negative
𝜄𝜛ԁ𝜄𝓅𝐞𝗇ⅆе𝜛𝙩𝗶,indipendenti,1,0.9209257,0,false_negative
٥𝕡𝘦rɑτ𝔦𝞶𝞼,operativo,1,0.917984,0,false_negative
𝙄ι𝓫𝚎𝔯o,libero,1,0.8406396,0,false_negative
𝜚ersona,persona,1,0.917128,0,false_negative
𝛼ͺ𝜐𝘁ɑ,aiuta,1,0.9189627,0,false_negative
⍳𝖓𝜏𝙚𝔩𝖑𝓮тt𝒐,intelletto,1,0.8995333,0,false_negative
giuramento,precisione,0,0.9345314,1,false_positive
ϲ𝓪𝒓𝔦𝐧o,carino,1,0.90561765,0,false_negative
simbolo,rigido,0,0.9412275,1,false_positive
segnalato,organizzata,0,0.9344118,1,false_positive
sacchetto,sacri,0,0.92683053,1,false_positive
𝚛𝗶сϲh℮,ricche,1,0.91151327,0,false_negative
ⲣ￨υ𝙨,plus,1,0.91422653,0,false_negative
conduzione,secondo,0,0.93300104,1,false_positive
𝑰൦𝞃τ𝘦,lotte,1,0.84444875,0,false_negative
sostanze,corsa,0,0.93828106,1,false_positive
⋁𝒶𝜋𝒊𝔱à,vanità,1,0.92292786,0,false_negative
finiti,influenza,0,0.9302486,1,false_positive
а𝘳𝗰һⅈ,archi,1,0.90772325,0,false_negative
Ƅ𝑢с𝚑i,buchi,1,0.9055617,0,false_negative
𝐝𝔢ⅽ⍳𝝕ⅇ,decine,1,0.89855665,0,false_negative
քα𝔵,fax,1,0.90784556,0,false_negative
s℮xies,sexies,1,0.8963135,0,false_negative
